id,city_id,"name"
570,35,"TİRE"
571,28,"TİREBOLU"
572,60,"TOKAT MERKEZ"
573,38,"TOMARZA"
574,61,"TONYA"
575,35,"TORBALI"
576,25,"TORTUM"
577,29,"TORUL"
578,37,"TOSYA"
580,1,"TUFANBEYLİ"
581,62,"TUNCELİ MERKEZ"
582,45,"TURGUTLU"
583,60,"TURHAL"
584,4,"TUTAK"
585,76,"TUZLUCA"
586,57,"TÜRKELİ"
587,46,"TÜRKOĞLU"
588,48,"ULA"
589,52,"ULUBEY"
590,64,"ULUBEY"
591,73,"ULUDERE"
592,32,"ULUBORLU"
593,51,"ULUKIŞLA"
594,74,"ULUS"
596,35,"URLA"
597,64,"UŞAK MERKEZ"
598,22,"UZUNKÖPRÜ"
599,52,"ÜNYE"
600,50,"ÜRGÜP"
601,34,"ÜSKÜDAR"
602,61,"VAKFIKEBİR"
604,49,"VARTO"
605,55,"VEZİRKÖPRÜ"
606,63,"VİRANŞEHİR"
607,39,"VİZE"
608,38,"YAHYALI"
609,77,"YALOVA MERKEZ"
610,32,"YALVAÇ"
611,18,"YAPRAKLI"
612,48,"YATAĞAN"
613,27,"YAVUZELİ"
614,31,"YAYLADAĞI"
615,17,"YENİCE"
616,6,"YENİMAHALLE"
617,9,"YENİPAZAR"
618,16,"YENİŞEHİR"
619,66,"YERKÖY"
620,38,"YEŞİLHİSAR"
621,15,"YEŞİLOVA"
622,44,"YEŞİLYURT"
623,81,"YIĞILCA"
624,58,"YILDIZELİ"
625,61,"YOMRA"
626,66,"YOZGAT MERKEZ"
627,1,"YUMURTALIK"
628,42,"YUNAK"
629,8,"YUSUFELİ"
630,30,"YÜKSEKOVA"
631,58,"ZARA"
632,34,"ZEYTİNBURNU"
633,60,"ZİLE"
634,67,"ZONGULDAK MERKEZ"
635,48,"DALAMAN"
636,80,"DÜZİÇİ"
637,6,"GÖLBAŞI"
638,6,"KEÇİÖREN"
639,6,"MAMAK"
640,6,"SİNCAN"
641,1,"YÜREĞİR"
642,50,"ACIGÖL"
643,12,"ADAKLI"
644,45,"AHMETLİ"
645,38,"AKKIŞLA"
646,42,"AKÖREN"
647,40,"AKPINAR"
648,32,"AKSU"
649,36,"AKYAKA"
650,1,"ALADAĞ"
651,67,"ALAPLI"
652,26,"ALPU"
653,42,"ALTINEKİN"
654,74,"AMASRA"
655,23,"ARICAK"
656,55,"ASARCIK"
657,43,"ASLANAPA"
658,18,"ATKARACALAR"
659,33,"AYDINCIK"
660,69,"AYDINTEPE"
661,70,"AYRANCI"
662,20,"BABADAĞ"
663,65,"BAHÇESARAY"
664,3,"BAŞMAKÇI"
665,44,"BATTALGAZİ"
666,3,"BAYAT"
667,20,"BEKİLLİ"
668,61,"BEŞİKDÜZÜ"
669,35,"BEYDAĞ"
670,26,"BEYLİKOVA"
671,19,"BOĞAZKALE"
672,33,"BOZYAZI"
673,35,"BUCA"
674,9,"BUHARKENT"
675,34,"BÜYÜKÇEKMECE"
676,16,"BÜYÜKORHAN"
677,81,"CUMAYERİ"
679,65,"ÇALDIRAN"
680,47,"DARGEÇİT"
681,69,"DEMİRÖZÜ"
682,42,"DEREBUCAK"
683,43,"DUMLUPINAR"
684,21,"EĞİL"
685,31,"ERZİN"
686,45,"GÖLMARMARA"
687,81,"GÖLYAKA"
688,52,"GÜLYALI"
689,53,"GÜNEYSU"
690,52,"GÜRGENTEPE"
691,13,"GÜROYMAK"
692,16,"HARMANCIK"
693,63,"HARRAN"
694,49,"HASKÖY"
695,43,"HİSARCIK"
696,20,"HONAZ"
697,42,"HÜYÜK"
698,37,"İHSANGAZİ"
699,1,"İMAMOĞLU"
700,9,"İNCİRLİOVA"
701,26,"İNÖNÜ"
702,3,"İSCEHİSAR"
703,34,"KAĞITHANE"
704,7,"DEMRE"
705,25,"KARAÇOBAN"
706,15,"KARAMANLI"
707,42,"KARATAY"
708,6,"KAHRAMANKAZAN"
709,15,"KEMER"
710,18,"KIZILIRMAK"
711,54,"KOCAALİ"
712,35,"KONAK"
713,23,"KOVANCILAR"
714,41,"KÖRFEZ"
715,29,"KÖSE"
716,34,"KÜÇÜKÇEKMECE"
717,10,"MARMARA"
